Results on the classifier: CLASSIFIERS for the cipher: DES on mode: CBC

img: t | detection: 1 | compression time: 0,085s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,115s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,118s | decompression time: 0,003s | img initial dimension: 10kb | img secure dimension: 13kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,115s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,105s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,118s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,124s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,12s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,12s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,108s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,137s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,126s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,128s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,146s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,137s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,118s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,132s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 19kb.
