Results on the classifier: CLASSIFIERS for the cipher: AES on mode: CBC

img: t | detection: 1 | compression time: 0,095s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,1s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,12s | decompression time: 0,003s | img initial dimension: 10kb | img secure dimension: 13kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,133s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,125s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,132s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,124s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,145s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,14s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,11s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,122s | decompression time: 0,003s | img initial dimension: 4kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,129s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,142s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,147s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,135s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,131s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 7kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,143s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 11kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,132s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,117s | decompression time: 0,003s | img initial dimension: 7kb | img secure dimension: 9kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,147s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 2 | compression time: 0,171s | decompression time: 0,003s | img initial dimension: 5kb | img secure dimension: 8kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,139s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,14s | decompression time: 0,003s | img initial dimension: 8kb | img secure dimension: 10kb | img decompressed dimensions: 19kb.
img: t | detection: 1 | compression time: 0,217s | decompression time: 0,003s | img initial dimension: 6kb | img secure dimension: 9kb | img decompressed dimensions: 19kb.
